"DATE","interval_vector_char","interval_edge_diff","GPSDistanceMeter","ESU_start","ESU_end","nb_pings_by_interval","Time_start","Time_end","Lat_start","Lat_end","Lon_start","Lon_end","Depth_start","Depth_end","Depth_std","Rugosity","Sloap","Time_mean","Lat_mean","Lon_mean","Depth_mean","SaFish_70","SaFish_200","SaNoFish_70","SaNoFish_200","FAROFA"
"2017-09-15","0-500",0.0774731086819997,499.922526891318,9,2761,2753,736953.63029903,736953.633665229,-3.833101,-3.83046456923077,-32.4013239422782,-32.4011084811189,4.21872796031746,7.827,1.7440828301114,0.0238633973849564,0.00722738960317113,736953.631972593,-3.8325545839914,-32.4013889837466,6.11101834711583,2.025442,0.7743029,1.189117,1.181573,1
"2017-09-15","500-1000",0.0811513428535591,999.918848657146,2762,4729,1968,736953.633666572,736953.636100299,-3.83046201978022,-3.82712112344989,-32.4011091764236,-32.4035337091945,7.772,17.716,2.34599182968892,0.321157221372636,0.0198998524202704,736953.63489106,-3.82875823571453,-32.4022877595291,8.48807137966091,124.3782,51.25253,9.804222,3.098889,1
"2017-09-15","1000-1500",0.654465793229065,1499.34553420677,4730,6654,1925,736953.636101514,736953.638469369,-3.82711901195397,-3.82381156512624,-32.4035348822478,-32.4055717597302,17.716,26.52,2.70580767718006,0.316815442460033,0.0176377040607918,736953.637277572,-3.82558190249387,-32.4047500194326,22.3156846163285,0,0,159.255,17.49746,1
"2017-09-15","2500-3000",0.0182710245971975,2999.9817289754,7726,11693,3968,736953.647023759,736953.652331644,-3.82467811559987,-3.82411247668284,-32.4052729257602,-32.4069073177886,25.031,27.733,0.941944764781736,0.13691677426639,0.00782320323845296,736953.649697565,-3.82424949070511,-32.4059788988345,26.4402861036008,0.4014117,0.3560152,181.665,30.36646,1
"2017-09-15","3000-3500",0.0200297665483049,3499.97997023345,11694,13469,1776,736953.652332964,736953.654766355,-3.82411428244355,-3.82751301463823,-32.406908521629,-32.4093040043915,27.715,26.594,0.340871169047263,0.322037419437572,-0.0022430909719786,736953.653544551,-3.82577469871246,-32.4081840375725,27.2025342660171,0,0,169.4562,19.86537,1
"2017-09-15","3500-4000",0.273037795936489,3999.72696220406,13470,15286,1817,736953.654767848,736953.657255086,-3.82751571225429,-3.83135000835976,-32.4093048136763,-32.4108246529259,26.594,22.054,1.33826322254596,0.320718890731319,-0.00909029876085972,736953.655972339,-3.82934769779271,-32.4101055351494,24.8964662654114,37.56356,20.61657,240.4255,31.64369,1
"2017-09-15","4000-4500",0.180974918660468,4499.81902508134,15287,17026,1740,736953.65725659,736953.659742659,-3.83135439211401,-3.8350036604014,-32.4108233163895,-32.4111683395986,22.054,15.602,1.62827153060396,0.338638554427227,-0.0129147971407983,736953.658527022,-3.83331950972804,-32.4114430773445,19.1789423317625,343.7746,130.8555,208.867,20.36411,1
"2017-09-15","4500-5000",0.166281104003247,4999.833718896,17027,18950,1924,736953.659743943,736953.662290999,-3.83500519273654,-3.83720330678537,-32.4111668072635,-32.4077102389317,15.584,5.989,2.52076034659466,0.308516149177943,-0.0191986882149025,736953.661027595,-3.83626913998636,-32.4095388369576,10.765499969046,0,0,38.7104,4.324526,1
"2017-09-15","5000-5500",0.208712465475401,5499.79128753452,18951,20614,1664,736953.662292341,736953.66458113,-3.8372035858999,-3.83627605394855,-32.4077077269009,-32.4087351541387,5.952,10.364,1.82790174261839,0.377047307646289,0.0088297069428636,736953.663434125,-3.83646834241072,-32.4072586507015,7.13054767159454,20.27493,5.452847,1.705871,0.7516592,1
"2017-09-15","5500-6000",0.0726646208167949,5999.92733537918,20615,22332,1718,736953.664582484,736953.666865126,-3.83627687368632,-3.83840938981992,-32.4087374962466,-32.4115108654106,10.364,4.776,1.58230266754962,0.358486556669426,-0.0111791219062446,736953.665726869,-3.83713968621059,-32.4106335406277,8.07201566318855,0.2112917,0.007126046,4.346698,0.8182166,1
"2017-09-15","6500-7000",0.18979133438279,6999.81020866562,24043,25667,1625,736953.669230759,736953.671407781,-3.83816702822241,-3.83516921055562,-32.413951194187,-32.4168830584567,7.772,20.583,4.01655638881446,0.390529543154505,0.0256385180210362,736953.670325296,-3.8366909613114,-32.4154273491876,14.3873194104099,128.6594,58.12246,28.48912,4.417868,1
"2017-09-15","7000-7500",0.0690214321175517,7499.93097856788,25668,27226,1559,736953.671409101,736953.673563345,-3.8351669257321,-3.8315002547296,-32.4168848355417,-32.4189684471622,20.583,28.579,2.5670509510715,0.396348951845122,0.0159984370899175,736953.672473991,-3.83335012665014,-32.4179021356157,25.1705653081035,0.003027201,0.1689255,146.6135,17.93573,1
"2017-09-15","7500-8000",0.125699021128639,7999.87430097887,27227,29100,1874,736953.673564711,736953.6761043,-3.8314979998089,-3.83349955780583,-32.4189698001147,-32.4195645245663,28.634,25.252,1.28938241162678,0.322669654655221,-0.00676872778995829,736953.674846578,-3.83179225601265,-32.4196390599561,29.1837864711002,7.952784,2.383897,161.9704,26.22398,1
"2017-09-15","8000-8500",0.170386283045445,8499.82961371695,29101,31048,1948,736953.676105619,736953.678764221,-3.83350142139679,-3.837629892,-32.4195644210335,-32.4187196662,25.289,17.164,2.44566867370866,0.307379176464787,-0.016258209086071,736953.677421892,-3.83553374173949,-32.4192445045951,20.198492578998,73.181,66.06106,63.35684,9.704271,1
"2017-09-15","8500-9000",0.22317669784934,8999.77682330215,31049,32793,1745,736953.678765552,736953.681108927,-3.837632192,-3.84080754103586,-32.4187193212,-32.4178983314741,17.183,3.66382961111111,4.9178324515243,0.354747492107216,-0.0270552057405192,736953.679945549,-3.83958190096912,-32.4180121889792,8.90202882943771,3.978073,1.22873,20.91228,1.860683,1
"2017-09-15","9000-9500",0.0736109216122713,9499.92638907839,32794,34363,1570,736953.681110281,736953.683258413,-3.84080544342629,-3.83796670936902,-32.4178998464143,-32.4209746593827,3.68527983333333,16.503,3.82598160868312,0.39417195824289,0.0256425304239983,736953.682172986,-3.83947668340327,-32.4194629506867,11.4210963520124,8.038469,3.34952,25.33971,4.057513,1
"2017-09-15","9500-10000",3.29601432155141,9996.70398567845,34364,36286,1923,736953.683259802,736953.686100774,-3.83796517973231,-3.834996,-32.4209766260584,-32.4238416285792,16.54,23.8779025,2.59437591087462,0.320520897393154,0.0147792410412143,736953.684578822,-3.83617995757403,-32.4226640175784,19.2941674210103,445.7973,259.238,31.92501,8.078042,1
"2017-09-15","10000-10500",0.0846138550932665,10499.9153861449,36287,37550,1082,736953.690593265,736953.692114174,-3.83428737665538,-3.83221102499754,-32.4253857275961,-32.4270667343765,27.1282951333333,28.946,0.612543276455002,0.551997858951189,0.00578083810209941,736953.691342023,-3.83328281543587,-32.4262316222493,28.0616477457305,1.22086,0.7049291,306.61,44.39352,1
"2017-09-15","10500-11000",0.151408713831188,10999.8485912862,37551,39375,1825,736953.692115622,736953.694738954,-3.83220768189135,-3.83389023927856,-32.4270681871227,-32.4289814396794,28.928,27.439,0.789285567195901,0.32029979128287,-0.00298081641083061,736953.69344481,-3.83226308813057,-32.4281532211191,29.2105791780822,0.0244112,0.01668203,188.2469,33.27681,1
"2017-09-15","11000-11500",0.0398352029442322,11499.9601647971,39376,41105,1730,736953.694740354,736953.697191825,-3.83389242164329,-3.83755943111018,-32.4289824096192,-32.4309928103701,27.421,26.575,0.429856505605037,0.343250187937105,-0.0016925219116431,736953.695951149,-3.83569462799274,-32.4299431496273,26.8518125380739,27.91266,10.3965,215.1177,36.20141,1
"2017-09-15","11500-12000",0.148431398141838,11999.8515686019,41106,42897,1792,736953.697193284,736953.699816976,-3.83756180200711,-3.83724837573723,-32.430993600669,-32.4305948331367,26.575,26.208,0.911504552495594,0.328824591662938,-0.000734568169976806,736953.698530662,-3.83802618244681,-32.4313111121785,25.5947259433126,16.86176,8.878634,163.505,28.20666,1
"2017-09-15","12000-12500",0.0646616371741402,12499.9353383628,42898,44921,2024,736953.699818446,736953.706982628,-3.83725010425551,-3.83944767636145,-32.4305943721985,-32.4321823381807,26.226,23.4906425,0.857060356330846,0.302914680326292,-0.00547197730244094,736953.703028408,-3.83805417540291,-32.4312151076508,25.7790131808026,106.2878,64.40639,149.3324,23.54215,1
